wellID, constituentID, mdl, pql, observed, sampleDate
13,0,NULL,NULL,<0.003,2016-04-19
13,0,NULL,NULL,<0.003,2016-06-08
13,0,NULL,NULL,<0.003,2016-08-31
13,0,NULL,NULL,<0.003,2016-10-19
13,0,NULL,NULL,0.000769(J),2017-01-31
13,0,NULL,NULL,n/a,2017-03-21
13,0,NULL,NULL,<0.003,2017-05-02
13,0,NULL,NULL,<0.003,2017-06-06
13,0,NULL,NULL,n/a,2017-09-13
13,0,NULL,NULL,<0.003*,2018-01-23
13,0,NULL,NULL,<0.003*,2018-05-01
13,0,NULL,NULL,n/a,2018-08-29
13,0,NULL,NULL,<0.003*,2018-11-27
13,0,NULL,NULL,<0.003*,2019-05-29
13,0,NULL,NULL,<0.003*,2019-10-01
13,0,NULL,NULL,<0.003*,2020-03-31
13,0,NULL,NULL,<0.003*,2020-09-02
13,0,NULL,NULL,<0.001015*,2021-05-19
13,0,NULL,NULL,<0.00102*,2021-11-01
13,0,NULL,NULL,<0.00102*,2022-05-25
14,0,NULL,NULL,n/a,2020-06-16
14,0,NULL,NULL,<0.003*,2020-09-02
14,0,NULL,NULL,<0.001015*,2021-05-19
14,0,NULL,NULL,<0.00102*,2021-10-26
14,0,NULL,NULL,<0.00102*,2022-05-25
15,0,NULL,NULL,0.000878(J),2019-07-31
15,0,NULL,NULL,n/a,2019-07-31
15,0,NULL,NULL,<0.003*,2019-10-02
15,0,NULL,NULL,<0.003*,2020-04-01
15,0,NULL,NULL,<0.003*,2020-09-01
15,0,NULL,NULL,<0.001015*,2021-05-17
15,0,NULL,NULL,<0.00102*,2021-10-25
15,0,NULL,NULL,<0.00102*,2022-05-25
16,0,NULL,NULL,n/a,2020-06-16
16,0,NULL,NULL,<0.003*,2020-09-01
16,0,NULL,NULL,<0.001015*,2021-05-18
16,0,NULL,NULL,<0.00102*,2021-10-25
16,0,NULL,NULL,<0.00102*,2022-05-25
17,0,NULL,NULL,0.00117(J),2019-03-20
17,0,NULL,NULL,<0.003*,2019-10-01
17,0,NULL,NULL,<0.003*,2020-04-01
17,0,NULL,NULL,<0.003*,2020-09-01
17,0,NULL,NULL,<0.001015*,2021-05-19
17,0,NULL,NULL,<0.00102*,2021-10-25
17,0,NULL,NULL,<0.00102*,2022-05-23
